section;rang;id;nom;club;note;prix
all;1;P8;Joueur 8;Club 2;vainqueur principal;149.00
all;2;P5;Joueur 5;Club 4;principal, Finale;86.00
all;3;P20;Joueur 20;Club 4;consolante, Finale consolante;52.00
all;4;P3;Joueur 3;Club 2;consolante, Consolante tour 7;35.00
all;5;P23;Joueur 23;Club 2;consolante, Consolante tour 1;22.00
all;6;P1;Joueur 1;Club 0;dernière chance, Dernière chance, Finale;22.00
all;7;P7;Joueur 7;Club 1;dernière chance, Dernière chance, Demi-finale;22.00
all;7;P9;Joueur 9;Club 3;dernière chance, Dernière chance, Demi-finale;22.00
all;9;P2;Joueur 2;Club 1;dernière chance, Dernière chance, Quart de finale;0.00
all;9;P6;Joueur 6;Club 0;dernière chance, Dernière chance, Quart de finale;0.00
all;9;P12;Joueur 12;Club 1;dernière chance, Dernière chance, Quart de finale;0.00
all;9;P21;Joueur 21;Club 0;dernière chance, Dernière chance, Quart de finale;0.00
all;13;P4;Joueur 4;Club 3;dernière chance, Dernière chance, Tour 2;0.00
all;13;P10;Joueur 10;Club 4;dernière chance, Dernière chance, Tour 2;0.00
all;13;P11;Joueur 11;Club 0;dernière chance, Dernière chance, Tour 2;0.00
all;13;P13;Joueur 13;Club 2;dernière chance, Dernière chance, Tour 2;0.00
all;13;P16;Joueur 16;Club 0;dernière chance, Dernière chance, Tour 2;0.00
all;13;P17;Joueur 17;Club 1;dernière chance, Dernière chance, Tour 2;0.00
all;13;P18;Joueur 18;Club 2;dernière chance, Dernière chance, Tour 2;0.00
all;13;P24;Joueur 24;Club 3;dernière chance, Dernière chance, Tour 2;0.00
all;21;P14;Joueur 14;Club 3;dernière chance, Dernière chance, tour 1;0.00
all;21;P15;Joueur 15;Club 4;dernière chance, Dernière chance, tour 1;0.00
all;21;P19;Joueur 19;Club 3;dernière chance, Dernière chance, tour 1;0.00
all;21;P22;Joueur 22;Club 1;dernière chance, Dernière chance, tour 1;0.00
conso;1;P5;Joueur 5;Club 4;vainqueur consolante;13.00
conso;2;P20;Joueur 20;Club 4;consolante, Finale consolante;9.00
conso;3;P3;Joueur 3;Club 2;consolante, Consolante tour 7;0.00
conso;4;P1;Joueur 1;Club 0;consolante, Consolante tour 6;0.00
conso;4;P17;Joueur 17;Club 1;consolante, Consolante tour 6;0.00
conso;6;P21;Joueur 21;Club 0;consolante, Consolante tour 5;0.00
conso;6;P4;Joueur 4;Club 3;consolante, Consolante tour 5;0.00
conso;8;P14;Joueur 14;Club 3;consolante, Consolante tour 4;0.00
conso;8;P15;Joueur 15;Club 4;consolante, Consolante tour 4;0.00
conso;8;P22;Joueur 22;Club 1;consolante, Consolante tour 4;0.00
conso;8;P13;Joueur 13;Club 2;consolante, Consolante tour 4;0.00
conso;12;P12;Joueur 12;Club 1;consolante, Consolante tour 3;0.00
conso;12;P7;Joueur 7;Club 1;consolante, Consolante tour 3;0.00
conso;12;P11;Joueur 11;Club 0;consolante, Consolante tour 3;0.00
conso;12;P10;Joueur 10;Club 4;consolante, Consolante tour 3;0.00
conso;16;P9;Joueur 9;Club 3;consolante, Consolante tour 2;0.00
conso;16;P2;Joueur 2;Club 1;consolante, Consolante tour 2;0.00
conso;16;P18;Joueur 18;Club 2;consolante, Consolante tour 2;0.00
conso;16;P16;Joueur 16;Club 0;consolante, Consolante tour 2;0.00
conso;20;P23;Joueur 23;Club 2;consolante, Consolante tour 1;0.00
conso;20;P19;Joueur 19;Club 3;consolante, Consolante tour 1;0.00
conso;20;P6;Joueur 6;Club 0;consolante, Consolante tour 1;0.00
conso;20;P24;Joueur 24;Club 3;consolante, Consolante tour 1;0.00
