section;rang;id;nom;club;note;prix
all;1;P1;Joueur 1;Club 0;vainqueur grande finale;102.00
all;2;P10;Joueur 10;Club 4;finaliste;58.00
all;3;P14;Joueur 14;Club 3;consolante, Finale consolante;35.00
all;4;P13;Joueur 13;Club 2;consolante, Consolante tour 5;23.00
all;5;P7;Joueur 7;Club 1;consolante, Consolante tour 4;14.00
all;5;P8;Joueur 8;Club 2;consolante, Consolante tour 4;14.00
all;7;P6;Joueur 6;Club 0;consolante, Consolante tour 3;14.00
all;7;P9;Joueur 9;Club 3;consolante, Consolante tour 3;14.00
all;9;P2;Joueur 2;Club 1;consolante, Consolante tour 2;0.00
all;9;P3;Joueur 3;Club 2;consolante, Consolante tour 2;0.00
all;9;P11;Joueur 11;Club 0;consolante, Consolante tour 2;0.00
all;9;P12;Joueur 12;Club 1;consolante, Consolante tour 2;0.00
all;13;P4;Joueur 4;Club 3;consolante, Consolante tour 1;0.00
all;13;P5;Joueur 5;Club 4;consolante, Consolante tour 1;0.00
all;13;P15;Joueur 15;Club 4;consolante, Consolante tour 1;0.00
all;13;P16;Joueur 16;Club 0;consolante, Consolante tour 1;0.00
conso;1;P10;Joueur 10;Club 4;vainqueur consolante;8.00
conso;2;P14;Joueur 14;Club 3;consolante, Finale consolante;6.00
conso;3;P13;Joueur 13;Club 2;consolante, Consolante tour 5;0.00
conso;4;P7;Joueur 7;Club 1;consolante, Consolante tour 4;0.00
conso;4;P8;Joueur 8;Club 2;consolante, Consolante tour 4;0.00
conso;6;P6;Joueur 6;Club 0;consolante, Consolante tour 3;0.00
conso;6;P9;Joueur 9;Club 3;consolante, Consolante tour 3;0.00
conso;8;P12;Joueur 12;Club 1;consolante, Consolante tour 2;0.00
conso;8;P2;Joueur 2;Club 1;consolante, Consolante tour 2;0.00
conso;8;P3;Joueur 3;Club 2;consolante, Consolante tour 2;0.00
conso;8;P11;Joueur 11;Club 0;consolante, Consolante tour 2;0.00
conso;12;P5;Joueur 5;Club 4;consolante, Consolante tour 1;0.00
conso;12;P15;Joueur 15;Club 4;consolante, Consolante tour 1;0.00
conso;12;P4;Joueur 4;Club 3;consolante, Consolante tour 1;0.00
conso;12;P16;Joueur 16;Club 0;consolante, Consolante tour 1;0.00
