section;rang;id;nom;club;note;prix
all;1;P1;Joueur 1;Club 0;vainqueur principal;126.00
all;2;P7;Joueur 7;Club 1;principal, Finale;72.00
all;3;P13;Joueur 13;Club 2;principal, Demi-finale;36.00
all;3;P14;Joueur 14;Club 3;principal, Demi-finale;36.00
all;5;P5;Joueur 5;Club 4;principal, Quart de finale;18.00
all;5;P10;Joueur 10;Club 4;principal, Quart de finale;18.00
all;5;P17;Joueur 17;Club 1;principal, Quart de finale;18.00
all;5;P18;Joueur 18;Club 2;principal, Quart de finale;18.00
all;9;P3;Joueur 3;Club 2;principal, Tour 2;0.00
all;9;P4;Joueur 4;Club 3;principal, Tour 2;0.00
all;9;P8;Joueur 8;Club 2;principal, Tour 2;0.00
all;9;P9;Joueur 9;Club 3;principal, Tour 2;0.00
all;9;P11;Joueur 11;Club 0;principal, Tour 2;0.00
all;9;P15;Joueur 15;Club 4;principal, Tour 2;0.00
all;9;P16;Joueur 16;Club 0;principal, Tour 2;0.00
all;9;P20;Joueur 20;Club 4;principal, Tour 2;0.00
all;17;P2;Joueur 2;Club 1;principal, Tour 1;0.00
all;17;P6;Joueur 6;Club 0;principal, Tour 1;0.00
all;17;P12;Joueur 12;Club 1;principal, Tour 1;0.00
all;17;P19;Joueur 19;Club 3;principal, Tour 1;0.00
