section;rang;id;nom;club;note;prix
all;1;P7;Joueur 7;Club 1;vainqueur;149.00
all;2;P8;Joueur 8;Club 2;finaliste;86.00
all;3;P19;Joueur 19;Club 3;5 victoires, 2 défaites;52.00
all;4;P3;Joueur 3;Club 2;4 victoires, 2 défaites;28.50
all;4;P9;Joueur 9;Club 3;4 victoires, 2 défaites;28.50
all;6;P12;Joueur 12;Club 1;3 victoires, 2 défaites;22.00
all;6;P14;Joueur 14;Club 3;3 victoires, 2 défaites;22.00
all;8;P11;Joueur 11;Club 0;2 victoires, 2 défaites;5.50
all;8;P16;Joueur 16;Club 0;2 victoires, 2 défaites;5.50
all;8;P21;Joueur 21;Club 0;2 victoires, 2 défaites;5.50
all;8;P24;Joueur 24;Club 3;2 victoires, 2 défaites;5.50
all;12;P2;Joueur 2;Club 1;1 victoires, 2 défaites;0.00
all;12;P4;Joueur 4;Club 3;1 victoires, 2 défaites;0.00
all;12;P10;Joueur 10;Club 4;1 victoires, 2 défaites;0.00
all;12;P15;Joueur 15;Club 4;1 victoires, 2 défaites;0.00
all;12;P17;Joueur 17;Club 1;1 victoires, 2 défaites;0.00
all;12;P20;Joueur 20;Club 4;1 victoires, 2 défaites;0.00
all;12;P22;Joueur 22;Club 1;1 victoires, 2 défaites;0.00
all;19;P1;Joueur 1;Club 0;0 victoires, 2 défaites;0.00
all;19;P5;Joueur 5;Club 4;0 victoires, 2 défaites;0.00
all;19;P6;Joueur 6;Club 0;0 victoires, 2 défaites;0.00
all;19;P13;Joueur 13;Club 2;0 victoires, 2 défaites;0.00
all;19;P18;Joueur 18;Club 2;0 victoires, 2 défaites;0.00
all;19;P23;Joueur 23;Club 2;0 victoires, 2 défaites;0.00
